CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
R07,,,Sore throat and chest,R07   Dor de garganta e no peito,R07 Sore throat and chest,,Dor de garganta e no peito,
R09,,,Other symptoms and signs involving the circulatory and respiratory systems,R09   Outr sint sinais relat ap circulat respirat,R09 othe sint signs relat after circulatory Respiratory,,Outros sintomas e sinais relativos aos aparelhos circulat�_rio e respirat�_rio,
R10,,,Abdominal and pelvic pain,R10   Dor abdominal e pelvica,R10 Abdominal and pelvic pain,,Dor abdominal e p̩lvica,
R11,,,Nausea and vomiting,R11   Nausea e vomitos,R11 Nausea and vomiting,,N��usea e v̫mitos,
R12,,,Heartburn,R12   Pirose,R12 Heartburn,,Pirose,
R13,,,Dysphagia,R13   Disfagia,R13 Dysphagia,,Disfagia,
R14,,,Flatulence and related conditions,R14   Flatulencia e afeccoes correlatas,R14 Flatulence and related conditions,,Flatul̻ncia e afec̵̤es correlatas,
R15,,,Fecal incontinence,R15   Incontinencia fecal,R15 fecal incontinence,,Incontin̻ncia fecal,
R16,,,"Hepatomegaly and splenomegaly, not elsewhere classified",R16   Hepatomegalia e esplenomegalia NCOP,R16 Hepatomegaly and splenomegaly NEC,,Hepatomegalia e esplenomegalia ṇo classificadas em outra parte,
R17,,,Jaundice unspecified,R17   Ictericia NE,R17 bile duct NE,,Icter�_cia ṇo especificada,
R18,,,Ascites,R18   Ascite,R18 Ascites,,Ascite,
R19,,,Other symptoms and signs involving the digestive system and abdomen,R19   Outr sint e sinais relat ap digest abdome,R19 othe sint and signs relat after digest abdomen,,Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome,
R20,,,Disturbances of skin sensation,R20   Disturbios da sensibilidade cutanea,R20 Disturbances of cutaneous sensitivity,,Dist̼rbios da sensibilidade cut̢nea,
R21,,,Rash and other unspecified rash,R21   Eritema e outr erupcoes cutaneas NE,R21 erythema and othe cutaneous eruptions NE,,Eritema e outras erup̵̤es cut̢neas ṇo especificadas,
R22,,,"Swelling, mass or tumor localized skin and subcutaneous tissue",R22   Tumefac massa tumoracao loc pele tec subcut,R22 Tumefac tumor mass loc skin tec subcut,,"Tumefa̤̣o, massa ou tumora̤̣o localizadas da pele e do tecido subcut̢neo",
R23,,,Other skin changes,R23   Outr alteracoes cutaneas,R23 othe cutaneous alterations,,Outras altera̵̤es cut̢neas,
R25,,,Abnormal involuntary movements,R25   Movimentos involuntarios anormais,R25 Abnormal involuntary movements,,Movimentos involunt��rios anormais,
R26,,,Abnormalities of gait and mobility,R26   Anormalidades da marcha e da mobilidade,R26 Abnormalities of gait and mobility,,Anormalidades da marcha e da mobilidade,
R27,,,Other coordination disturbances,R27   Outr disturbios da coordenacao,R27 othe disorders of coordination,,Outros dist̼rbios da coordena̤̣o,
R29,,,Other symptoms and signs involving the nervous and musculoskeletal systems,R29   Outr sint sinais relat sist nerv osteomusc,R29 othe sint signs relat syst nerv osteomusc,,Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular,
R30,,,Pain associated with urination,R30   Dor assoc a miccao,R30 Pain assoc urination,,Dor associada �� mic̤̣o,
R31,,,Unspecified haematuria,R31   Hematuria NE,R31 Hematuria NE,,Hemat̼ria ṇo especificada,
R32,,,Urinary incontinence unspecified,R32   Incontinencia urinaria NE,R32 Urinary incontinence NE,,Incontin̻ncia urin��ria ṇo especificada,
R33,,,Urinary retention,R33   Retencao urinaria,R33 urinary retention,,Reten̤̣o urin��ria,
R34,,,Anuria and oliguria,R34   Anuria e oliguria,R34 Anuria and oliguria,,An̼ria e olig̼ria,
R35,,,Polyuria,R35   Poliuria,R35 polyuria,,Poli̼ria,
R36,,,Urethral discharge,R36   Secrecao uretral,R36 urethral discharge,,Secre̤̣o uretral,
R39,,,Other symptoms and signs involving the urinary system,R39   Outr sint e sinais relativos ap urinario,R39 othe sint and signs involving the urinary ap,,Outros sintomas e sinais relativos ao aparelho urin��rio,
R40,,,"Drowsiness, stupor and coma",R40   Sonolencia estupor e coma,R40 drowsy stupor and coma,,"Sonol̻ncia, estupor e coma",
R41,,,Other symptoms and signs involving cognitive functions and awareness,R41   Outr sint sinais relat func cognit e consc,R41 othe sint signs relat func Cognit and Awareness,,Outros sintomas e sinais relativos �� fun̤̣o cognitiva e �� consci̻ncia,
R42,,,Dizziness and instability,R42   Tontura e instabilidade,R42 Dizziness and instability,,Tontura e instabilidade,
R43,,,Smell and taste disorders,R43   Disturbios do olfato e do paladar,R43 Disturbances of smell and taste,,Dist̼rbios do olfato e do paladar,
R44,,,Other symptoms and signs involving the sensations and general perceptions,R44   Outr sint sinais relat sensac percep gerais,R44 othe sint signs relat sensac general perception,,Outros sintomas e sinais relativos ��s sensa̵̤es e ��s percep̵̤es gerais,
R45,,,Symptoms and signs involving emotional state,R45   Sint e sinais relativos ao estado emocional,R45 Sint and signs involving emotional state,,Sintomas e sinais relativos ao estado emocional,
R46,,,Symptoms and signs involving appearance and behavior,R46   Sint e sinais relativos aparencia e comport,R46 Sint and signs involving appearance and comport,,Sintomas e sinais relativos �� apar̻ncia e ao comportamento,
R47,,,Speech disorders not elsewhere classified,R47   Disturbios da fala NCOP,R47 Disturbances of speech NEC,,Dist̼rbios da fala ṇo classificados em outra parte,
R48,,,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",R48   Dislexia e outr disfuncoes simbolicas NCOP,R48 Dyslexia and othe dysfunctions symbolic NEC,,"Dislexia e outras disfun̵̤es simb�_licas, ṇo classificadas em outra parte",
R49,,,Voice disorders,R49   Disturbios da voz,R49 Voice Disorders,,Dist̼rbios da voz,
R50,,,Fever of unknown origin and other origins,R50   Febre origem desconhecida e outras origens,R50 Fever of unknown origin and other origins,,Febre de origem desconhecida e de outras origens,
R51,,,Headache,R51   Cefaleia,R51 Headache,,Cefal̩ia,
R52,,,Pain not elsewhere classified,R52   Dor NCOP,R52 Pain NEC,,Dor ṇo classificada em outra parte,
R53,,,"Malaise, fatigue",R53   Mal estar fadiga,R53 Malaise fatigue,,"Mal estar, fadiga",
R54,,,Senility,R54   Senilidade,R54 Senility,,Senilidade,
R55,,,Syncope and collapse,R55   Sincope e colapso,R55 Syncope and collapse,,S�_ncope e colapso,
R56,,,"Convulsions, not elsewhere classified",R56   Convulsoes NCOP,R56 seizures NEC,,"Convuls̵es, ṇo classificadas em outra parte",
R57,,,"Shock, not elsewhere classified",R57   Choque NCOP,R57 Shock NEC,,Choque ṇo classificado em outra parte,
R58,,,Bleeding not elsewhere classified,R58   Hemorragia NCOP,R58 haemorrhage NEC,,Hemorragia ṇo classificada em outra parte,
R59,,,Swelling of lymph nodes,R59   Aumento de volume dos ganglios linfaticos,R59 Increased volume of lymph glands,,Aumento de volume dos g̢nglios linf��ticos,
R60,,,Edema not elsewhere classified,R60   Edema NCOP,R60 Edema NEC,,Edema ṇo classificado em outra parte,
R61,,,Hyperhidrosis,R61   Hiperidrose,R61 Hyperhidrosis,,Hiperidrose,
R62,,,Delay of normal physiological development,R62   Retardo do desenvolv fisiologico normal,R62 Delay of normal physiological developme,,Retardo do desenvolvimento fisiol�_gico normal,
R63,,,Symptoms and signs concerning food and fluid intake,R63   Sint sinais relat ingestao alimentos liquid,R63 Sint signs relat intake liquid food,,Sintomas e sinais relativos �� ingesṭo de alimentos e l�_quidos,
R64,,,Cachexy,R64   Caquexia,R64 Cachexia,,Caquexia,
R68,,,Other general symptoms and signs,R68   Outr sint e sinais gerais,R68 othe sint and general signs,,Outros sintomas e sinais gerais,
R69,,,Unknown and unspecified causes of morbidity,R69   Causas desconhecidas e NE de morbidade,R69 unknown causes of morbidity and NE,,Causas desconhecidas e ṇo especificadas de morbidade,
R70,,,Speed ��܉��elevated erythrocyte sedimentation and other abnormalities of plasma viscosity,R70   Veloc hemossedim elev outr anorm visc plasm,R70 Speed ��܉��hemossedim elev othe abnorm visc plasm,,Velocidade de hemossedimenta̤̣o elevada e outras anormalidades da viscosidade plasm��tica,
R71,,,Abnormality of red blood cells,R71   Anormalidade das hemacias,R71 Abnormality of erythrocytes,,Anormalidade das hem��cias,
R72,,,Abnormality of leukocytes not elsewhere classified,R72   Anormalidade dos leucocitos NCOP,R72 Abnormality of leukocytes NEC,,Anormalidade dos leuc�_citos ṇo classificada em outra parte,
R73,,,Increased blood glucose,R73   Aumento da glicemia,R73 Increased glucose,,Aumento da glicemia,
R74,,,Abnormalities of serum levels of enzymes,R74   Anormalidades dos niveis de enzimas sericas,R74 Abnormalities of serum levels of enzymes,,Anormalidades dos n�_veis de enzimas s̩ricas,
R75,,,Laboratory evidence of human immunodeficiency virus [HIV],R75   Evidencia laboratorial do HIV,R75 laboratory HIV Evidence,,Evid̻ncia laboratorial do v�_rus da imunodefici̻ncia humana [HIV],
R76,,,Other abnormal immunological findings in serum,R76   Outr achados imunologicos anormais no soro,R76 othe abnormal immunological findings in serum,,Outros achados imunol�_gicos anormais no soro,
R77,,,Other abnormalities of plasma proteins,R77   Outr anormalidades das proteinas plasmaticas,R77 othe abnormalities of plasma proteins,,Outras anormalidades das prote�_nas plasm��ticas,
R78,,,Presence of drugs and other substances not normally found in the blood,R78   Presenca drog outr subst norm n encontr sang,R78 Presence drog othe subst norm n Found sang,,Presen̤a de drogas e de outras subst̢ncias normalmente ṇo encontradas no sangue,
R79,,,Other abnormal findings of blood chemistry tests,R79   Outr achados anormais exames quimicos sangue,R79 othe abnormal findings chemical blood tests,,Outros achados anormais de exames qu�_micos do sangue,
R80,,,Proteinuria isolated,R80   Proteinuria isolada,R80 Proteinuria isolated,,Protein̼ria isolada,
R81,,,Glycosuria,R81   Glicosuria,R81 Glycosuria,,Glicos̼ria,
R82,,,Other abnormal findings in urine,R82   Outr achados anormais na urina,R82 othe abnormal findings in urine,,Outros achados anormais na urina,
R83,,,Abnormal findings in cerebrospinal fluid,R83   Achados anormais liquido cefalorraquidiano,R83 Abnormal findings cerebrospinal fluid,,Achados anormais no l�_quido cefalorraquidiano,
R84,,,Abnormal findings in specimens from respiratory organs and thorax,R84   Achados anormais mat prov org respirat torax,R84 Abnormal findings mat prov ed Respiratory chest,,Achados anormais de material proveniente dos �_rg̣os respirat�_rios e do t�_rax,
R85,,,Abnormal findings in specimens from digestive organs and abdominal cavity,R85   Achados anorm mat prov org digest cav abdom,R85 findings abnorm mat prov org digest cav Abdon,,Achados anormais de material proveniente dos �_rg̣os digestivos e da cavidade abdominal,
R86,,,Abnormal findings in specimens from male genital organs,R86   Achados anormais mat prov org genitais masc,R86 Abnormal findings mat prov Male genital org,,Achados anormais de material proveniente dos �_rg̣os genitais masculinos,
R87,,,Abnormal findings in specimens from female genital organs,R87   Achados anormais mat prov org genitais femin,R87 Abnormal findings mat genital prov org femal,,Achados anormais de material proveniente dos �_rg̣os genitais femininos,
R89,,,"Material abnormal findings from other organs, apparatus, systems and tissues",R89   Achados anorms mat prov outr org ap sist tec,R89 findings anorms mat ap prov othe org sist tec,,"Achados anormais de material proveniente de outros �_rg̣os, aparelhos, sistemas e tecidos",
R90,,,Abnormal findings on diagnostic imaging of central nervous system,R90   Result anorm exam diagn imag sist nerv centr,R90 Result abnorm exam diagn imag nerv syst centr,,Resultados anormais de exames para diagn�_stico por imagem do sistema nervoso central,
R91,,,"Abnormal findings on diagnostic imaging, lung",R91   Achados anorm exames diagn imagem do pulmao,R91 findings abnorm tests diagn image of the lung,,"Achados anormais, de exames para diagn�_stico por imagem, do pulṃo",
R92,,,"Abnormal findings on diagnostic imaging, breast",R92   Achados anorm exames diagn imagem da mama,R92 findings abnorm tests diagn image of the breast,,"Achados anormais, de exames para diagn�_stico por imagem, da mama",
R93,,,Abnormal examination findings on diagnostic imaging of other body structures,R93   Achados anorm exam diagn imag out estr corp,R93 exam findings abnorm diagn imag October Weird corp,,Achados anormais de exames para diagn�_stico por imagem de outras estruturas do corpo,
R94,,,Abnormal results of function studies,R94   Resultados anormais de estudos de funcao,R94 Abnormal results of function studies,,Resultados anormais de estudos de fun̤̣o,
R95,,,Sudden death syndrome in childhood,R95   Sindr da morte subita na infancia,R95 Sindr of sudden death in infancy,,S�_ndrome da morte s̼bita na inf̢ncia,
R96,,,Other sudden deaths of unknown cause,R96   Outr mortes subitas de causa desconhecida,R96 othe sudden deaths of unknown cause,,Outras mortes s̼bitas de causa desconhecida,
R98,,,Unattended deaths,R98   Morte s/assist,R98 Death s / assist,,Morte sem assist̻ncia,
R99,,,Other ill-defined and unspecified causes of mortality,R99   Outr causas mal definidas e NE mortalidade,R99 othe ill-defined causes and mortality NE,,Outras causas mal definidas e as ṇo especificadas de mortalidade,
S00,,,Superficial injury of head,S00   Traum superf da cabeca,S00 Traum surface of the head,,Traumatismo superficial da cabe̤a,
S01,,,Head injury,S01   Ferim da cabeca,S01 Ferim the head,,Ferimento da cabe̤a,
S02,,,Skull fracture and facial bones,S02   Frat do cranio e dos ossos da face,S02 Frat the skull and facial bones,,Fratura do cr̢nio e dos ossos da face,
S03,,,"Dislocation, sprain and strain of joints and ligaments of head",S03   Luxacao entorse distensao artic lig cabeca,S03 Dislocation sprain distension artic linked head,,"Luxa̤̣o, entorse ou distenṣo das articula̵̤es e dos ligamentos da cabe̤a",
S04,,,Injury of cranial nerves,S04   Traum dos nervos cranianos,S04 Traum cranial nerves,,Traumatismo dos nervos cranianos,
S05,,,Injury of eye and eye socket,S05   Traum do olho e da orbita ocular,S05 Traum eye and ocular orbits,,Traumatismo do olho e da �_rbita ocular,
S06,,,Intracranial trauma,S06   Traum intracraniano,S06 intracranial Traum,,Traumatismo intracraniano,
S07,,,Crush injuries of the head,S07   Lesoes p/esmag da cabeca,Lesions S07 p / Crushing a Bone of head,,Les̵es por esmagamento da cabe̤a,
S08,,,Traumatic amputation of part of head,S08   Amput traum de parte da cabeca,S08 Amput traum part of head,,Amputa̤̣o traum��tica de parte da cabe̤a,
S09,,,Other injuries of the head and unspecified,S09   Outr traum da cabeca e os NE,S09 othe traum the head and NE,,Outros traumatismos da cabe̤a e os ṇo especificados,
S10,,,Superficial injury of neck,S10   Traum superf do pescoco,S10 Traum surface of the neck,,Traumatismo superficial do pesco̤o,
S11,,,Neck injury,S11   Ferim do pescoco,S11 Ferim the neck,,Ferimento do pesco̤o,
S12,,,Neck Fracture,S12   Frat do pescoco,S12 Frat the neck,,Fratura do pesco̤o,
S13,,,"Dislocation, sprain and strain of joints and ligaments at neck level",S13   Luxacao entorse distensao artic lig pescoco,S13 Dislocation sprain distension artic linking neck,,"Luxa̤̣o, entorse ou distenṣo das articula̵̤es e dos ligamentos do pesco̤o",
S14,,,Injury of nerves and spinal cord at neck level,S14   Traum nervos medula espinhal nivel cervical,S14 Traum nerves cervical level spinal cord,,Traumatismo de nervos e da medula espinhal ao n�_vel cervical,
S15,,,Injury of blood vessels at neck level,S15   Traum dos vasos sanguineos nivel do pescoco,S15 Traum of the blood level of the neck vessels,,Traumatismo dos vasos sang�_�_neos ao n�_vel do pesco̤o,
S16,,,Injury of tendons and muscles of the neck,S16   Traum de tendoes e de musculos do pescoco,S16 Traum of tendons and muscles of the neck,,Traumatismo de tend̵es e de m̼sculos do pesco̤o,
S17,,,Crush injuries of the neck,S17   Lesoes p/esmag do pescoco,Lesions S17 p / Crushing a Bone's neck,,Les̵es por esmagamento do pesco̤o,
S18,,,Traumatic amputation at neck level,S18   Amput traum ao nivel do pescoco,S18 Amput traum the level of the neck,,Amputa̤̣o traum��tica ao n�_vel do pesco̤o,
S19,,,Other injuries of the neck and unspecified,S19   Outr traum do pescoco e os NE,S19 othe traum the neck and NE,,Outros traumatismos do pesco̤o e os ṇo especificados,
S20,,,Superficial injury of the chest,S20   Traum superf do torax,S20 Traum surface of the chest,,Traumatismo superficial do t�_rax,
S21,,,Chest injury,S21   Ferim do torax,Ferim S21's chest,,Ferimento do t�_rax,
S22,,,"Rib fracture (s), sternum and thoracic spine",S22   Frat de costelas esterno e coluna toracica,S22 Frat sternum ribs and thoracic spine,,"Fratura de costela(s), esterno e coluna tor��cica",
S23,,,"Dislocation, sprain and strain of joints and ligaments of the chest",S23   Luxacao entorse distensao artic lig do torax,S23 Dislocation sprain distension linked artic the chest,,"Luxa̤̣o, entorse e distenṣo de articula̵̤es e dos ligamentos do t�_rax",
S24,,,Injuries of nerves and spinal cord at chest level,S24   Traum nervos e medula espinhal nivel torax,S24 Traum nerves and spinal cord level chest,,Traumatismos de nervos e da medula espinhal ao n�_vel do t�_rax,
S25,,,Injury of blood vessels of the chest,S25   Traum de vasos sanguineos do torax,S25 Traum of blood vessels of the chest,,Traumatismo de vasos sang�_�_neos do t�_rax,
S26,,,Injury of heart,S26   Traum do coracao,S26 Traum's heart,,Traumatismo do cora̤̣o,
S27,,,Injury of other intrathoracic organs and unspecified,S27   Traum de outr orgaos intratoracicos e dos NE,S27 Traum of othe intrathoracic organs and NE,,Traumatismo de outros �_rg̣os intrator��cicos e dos ṇo especificados,
S28,,,Crushing injury of thorax and traumatic amputation of part of thorax,S28   Lesao p/esmag torax amput traum parte torax,S28 Injury p / Crushing a Bone chest Amput traum of chest,,Leṣo por esmagamento do t�_rax e amputa̤̣o traum��tica de parte do t�_rax,
S29,,,Other injuries of the chest and unspecified,S29   Outr traum do torax e os NE,S29 othe traum the chest and NE,,Outros traumatismos do t�_rax e os ṇo especificados,
S30,,,"Superficial injury of abdomen, lower back and pelvis",S30   Traum superf do abdome do dorso e da pelve,S30 Traum surface of back abdomen and pelvis,,"Traumatismo superficial do abdome, do dorso e da pelve",
S31,,,"Wound of abdomen, lower back and pelvis",S31   Ferim do abdome do dorso e da pelve,S31 Ferim of back abdomen and pelvis,,"Ferimento do abdome, do dorso e da pelve",
S32,,,Fracture of the lumbar spine and pelvis,S32   Frat da coluna lombar e da pelve,S32 Frat lumbar spine and pelvis,,Fratura da coluna lombar e da pelve,
S33,,,"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis",S33   Luxac entors dist artic lig col lombar pelve,S33 Luxac entors dist artic linked col lumbar pelvis,,"Luxa̤̣o, entorse ou distenṣo das articula̵̤es e dos ligamentos da coluna lombar e da pelve",
S34,,,"Injury of nerves and lumbar spinal cord at the level of the abdomen, lower back and pelvis",S34   Traum nerv med lombar niv abdome dorso pelve,S34 Traum nerv lumbar med niv abdomen pelvis back,,"Traumatismo dos nervos e da medula lombar ao n�_vel do abdome, do dorso e da pelve",
S35,,,"Injury of blood vessels at abdomen level, lower back and pelvis",S35   Traum vasos sang nivel abdome dorso pelve,S35 Traum vessels sang level abdomen pelvis back,,"Traumatismo de vasos sang�_�_neos ao n�_vel do abdome, do dorso e da pelve",
S36,,,Injury of intra-abdominal organs,S36   Traum de orgaos intra-abdominais,S36 Traum of intra-abdominal organs,,Traumatismo de �_rg̣os intra-abdominais,
S37,,,Injury of urinary and pelvic organs,S37   Traum do aparelho urinario e orgaos pelvicos,S37 Traum urinary tract and pelvic organs,,Traumatismo do aparelho urin��rio e de �_rg̣os p̩lvicos,
S38,,,"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis",S38   Lesao p/esmag amput traum part abd dors pelv,S38 Injury p / Crushing a Bone Amput traum part abd dors PELV,,"Leṣo por esmagamento e amputa̤̣o traum��tica de parte do abdome, do dorso e da pelve",
S39,,,"Other and unspecified injuries of abdomen, lower back and pelvis",S39   Outr traum e os NE do abdome dorso e pelve,S39 othe traum and NE of the back abdomen and pelvis,,"Outros traumatismos e os ṇo especificados do abdome, do dorso e da pelve",
S40,,,Superficial injury of shoulder and upper arm,S40   Traum superf do ombro e do braco,S40 Traum surface of the shoulder and arm,,Traumatismo superficial do ombro e do bra̤o,
S41,,,Injury of shoulder and upper arm,S41   Ferim do ombro e do braco,S41 Ferim shoulder and arm,,Ferimento do ombro e do bra̤o,
S42,,,Shoulder and arm fracture,S42   Frat do ombro e do braco,S42 Frat shoulder and arm,,Fratura do ombro e do bra̤o,
S43,,,"Dislocation, sprain and strain of joints and ligaments of the shoulder girdle",S43   Luxacao entorse distens artic lig cint escap,S43 Dislocation sprain distension artic linked cint ESCAP,,"Luxa̤̣o, entorse e distenṣo das articula̵̤es e dos ligamentos da cintura escapular",
S44,,,Injury of nerves at shoulder and upper arm level,S44   Traum de nervos ao nivel do ombro e do braco,S44 Traum nerves at the level of the shoulder and arm,,Traumatismo de nervos ao n�_vel do ombro e do bra̤o,
S45,,,Injury of blood vessels at shoulder and upper arm level,S45   Traum dos vasos sanguineos nivel ombro braco,S45 Traum of blood vessels shoulder level arm,,Traumatismo dos vasos sang�_�_neos ao n�_vel do ombro e do bra̤o,
S46,,,Injury of muscle and tendon at shoulder and upper arm level,S46   Traum de tendao e musculo nivel ombro braco,S46 Traum of tendon and shoulder level muscle arm,,Traumatismo de tenḍo e m̼sculo ao n�_vel do ombro e do bra̤o,
S47,,,Crushing injury of shoulder and upper arm,S47   Lesao p/esmag do ombro e do braco,S47 Injury p / Crushing a Bone shoulder and arm,,Leṣo por esmagamento do ombro e do bra̤o,
S48,,,Traumatic amputation of shoulder and upper arm,S48   Amput traum do ombro e do braco,S48 Amput traum shoulder and arm,,Amputa̤̣o traum��tica do ombro e do bra̤o,
S49,,,Other injuries and unspecified shoulder and arm,S49   Outr traum e os NE do ombro e do braco,S49 othe traum and shoulder and arm NE,,Outros traumatismos e os ṇo especificados do ombro e do bra̤o,
S50,,,Surface of the elbow and forearm injury,S50   Traum superf do cotovelo e do antebraco,S50 Traum surface of the elbow and forearm,,Traumatismo superficial do cotovelo e do antebra̤o,
S51,,,Injury forearm,S51   Ferim do antebraco,S51 Ferim the forearm,,Ferimento do antebra̤o,
S52,,,Forearm fracture,S52   Frat do antebraco,S52 Frat the forearm,,Fratura do antebra̤o,
S53,,,"Dislocation, sprain and strain of joints and ligaments of elbow",S53   Luxacao entorse distensao artic lig cotovelo,S53 Dislocation sprain distension artic linked elbow,,"Luxa̤̣o, entorse e distenṣo das articula̵̤es e dos ligamentos do cotovelo",
S54,,,Injury of nerves at forearm level,S54   Traum de nervos ao nivel do antebraco,S54 Traum nerves at the level of forearm,,Traumatismo de nervos ao n�_vel do antebra̤o,
S55,,,Injury of blood vessels at forearm level,S55   Traum de vasos sanguineos ao nivel antebraco,S55 Traum of blood vessels at forearm level,,Traumatismo de vasos sang�_�_neos ao n�_vel do antebra̤o,
S56,,,Injury of muscle and tendon at forearm level,S56   Traum do musculo e tendao ao nivel antebraco,S56 Traum of muscle and tendon at forearm level,,Traumatismo do m̼sculo e tenḍo ao n�_vel do antebra̤o,
S57,,,Crushing injury of forearm,S57   Lesao p/esmag do antebraco,S57 Injury p / Crushing a Bone of the forearm,,Leṣo por esmagamento do antebra̤o,
S58,,,Traumatic amputation of elbow and forearm,S58   Amput traum do cotovelo e do antebraco,S58 Amput traum elbow and forearm,,Amputa̤̣o traum��tica do cotovelo e do antebra̤o,
S59,,,Other injuries of the forearm and unspecified,S59   Outr traum do antebraco e os NE,S59 othe traum the forearm and the NE,,Outros traumatismos do antebra̤o e os ṇo especificados,
S60,,,Surface of the wrist and hand injury,S60   Traum superf do punho e da mao,S60 Traum surface of wrist and hand,,Traumatismo superficial do punho e da ṃo,
S61,,,Wrist and hand injury,S61   Ferim do punho e da mao,S61 Ferim of wrist and hand,,Ferimento do punho e da ṃo,
S62,,,Fracture of wrist and hand,S62   Frat ao nivel do punho e da mao,S62 Frat the level of the wrist and hand,,Fratura ao n�_vel do punho e da ṃo,
S63,,,"Dislocation, sprain and strain of joints and ligaments at wrist and hand",S63   Luxac entors distens artic lig niv punho mao,S63 Luxac entors distension artic linked niv hand fist,,"Luxa̤̣o, entorse e distenṣo das articula̵̤es e dos ligamentos ao n�_vel do punho e da ṃo",
S64,,,Injury of nerves at wrist and hand level,S64   Traum de nervos ao nivel do punho e da mao,S64 Traum nerves at the level of the wrist and hand,,Traumatismo de nervos ao n�_vel do punho e da ṃo,
S65,,,Injury of blood vessels at wrist and hand level,S65   Traum de vasos sanguineos nivel punho e mao,S65 Traum blood level wrist and hand vessels,,Traumatismo de vasos sang�_�_neos ao n�_vel do punho e da ṃo,
S66,,,Injury of muscle and tendon at wrist and hand,S66   Traum de musculo e tendao nivel punho e mao,S66 Traum of muscle and tendon level wrist and hand,,Traumatismo de m̼sculo e tenḍo ao n�_vel do punho e da ṃo,
S67,,,Crushing injury of wrist and hand,S67   Lesao p/esmag do punho e da mao,S67 Injury p / Crushing a Bone wrist and hand,,Leṣo por esmagamento do punho e da ṃo,
S68,,,Traumatic amputation of wrist and hand,S68   Amput traum ao nivel do punho e da mao,S68 Amput traum the level of the wrist and hand,,Amputa̤̣o traum��tica ao n�_vel do punho e da ṃo,
S69,,,Other and unspecified injuries of wrist and hand,S69   Outr traum e os NE do punho e da mao,S69 othe traum and NE of wrist and hand,,Outros traumatismos e os ṇo especificados do punho e da ṃo,
S70,,,Superficial injury of hip and thigh,S70   Traum superf do quadril e da coxa,S70 Traum surface of the hip and thigh,,Traumatismo superficial do quadril e da coxa,
S71,,,Wound of hip and thigh,S71   Ferim do quadril e da coxa,S71 Ferim hip and thigh,,Ferimento do quadril e da coxa,
S72,,,Femoral Fracture,S72   Frat do femur,S72 Frat femur,,Fratura do f̻mur,
S73,,,"Dislocation, sprain and strain of joint and ligaments of hip",S73   Luxacao entorse distensao artic lig quadril,S73 Dislocation sprain distension linked hip artic,,"Luxa̤̣o, entorse e distenṣo da articula̤̣o e dos ligamentos do quadril",
S74,,,Injury of nerves at hip and thigh level,S74   Traum de nervos ao nivel do quadril e coxa,S74 Traum of nerves at hip and thigh level,,Traumatismo de nervos ao n�_vel do quadril e da coxa,
S75,,,Injury of blood vessels at hip and thigh level,S75   Traum vasos sanguineos nivel quadril e coxa,S75 Traum blood vessels level hip and thigh,,Traumatismo de vasos sang�_�_neos ao n�_vel do quadril e da coxa,
S76,,,Injury of muscle and tendon at hip and thigh level,S76   Traum musculo e tendao nivel quadril e coxa,S76 Traum muscle and tendon level hip and thigh,,Traumatismo de m̼sculo e de tenḍo ao n�_vel do quadril e da coxa,
S77,,,Crushing injury of hip and thigh,S77   Lesao p/esmag do quadril e da coxa,S77 Injury p / Crushing a Bone hip and thigh,,Leṣo por esmagamento do quadril e da coxa,
S78,,,Traumatic amputation of hip and thigh,S78   Amput traum do quadril e da coxa,S78 Amput traum hip and thigh,,Amputa̤̣o traum��tica do quadril e da coxa,
S79,,,Other injuries and unspecified hip and thigh,S79   Outr traum e os NE do quadril e da coxa,S79 othe traum and NE hip and thigh,,Outros traumatismos e os ṇo especificados do quadril e da coxa,
S80,,,Superficial leg injury,S80   Traum superf da perna,S80 Traum surface of the leg,,Traumatismo superficial da perna,
S81,,,Leg injury,S81   Ferim da perna,S81 Ferim leg,,Ferimento da perna,
S82,,,"Leg fracture, including ankle",S82   Frat da perna incl tornozelo,S82 Frat incl ankle of leg,,"Fratura da perna, incluindo tornozelo",
S83,,,"Dislocation, sprain and strain of joints and ligaments of knee",S83   Luxacao entorse distensao art lig joelho,S83 Dislocation sprain knee distension linked art,,"Luxa̤̣o, entorse e distenṣo das articula̵̤es e dos ligamentos do joelho",
S84,,,Injury of peripheral nerves of the leg,S84   Traum de nervos perifericos da perna,S84 Traum of peripheral nerves of the leg,,Traumatismo de nervos perif̩ricos da perna,
S85,,,Injury of blood vessels of the leg,S85   Traum de vasos sanguineos da perna,S85 Traum of blood vessels of the leg,,Traumatismo de vasos sang�_�_neos da perna,
S86,,,Muscle injuries and tendon at lower leg level,S86   Traum de musculo e de tendao ao nivel perna,S86 Traum of muscle and tendon at the level leg,,Traumatismos de m̼sculo e de tenḍo ao n�_vel da perna,
S87,,,Injury by crushing the leg,S87   Traum p/esmag da perna,S87 Traum w / Crushing a Bone leg,,Traumatismo por esmagamento da perna,
